airport,date,year,month,dep_flights,dep_cancelled,dep_diverted,dep_delayed15,dep_cancel_rate,dep_delay15_rate,avg_dep_delay,arr_flights,arr_cancelled,arr_diverted,arr_delayed15,arr_cancel_rate,arr_delay15_rate,avg_arr_delay,avg_taxi_out,avg_taxi_in,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,disruption_score
JFK,2023-07-09,2023,7,359,147,0,84,0.4095,0.3962,66.92,359,150,8,80,0.4178,0.3828,72.01,34.51,13.91,3916.0,2318.0,7595.0,0.0,2644.0,1.2152
DCA,2020-04-02,2020,4,343,193,0,13,0.5627,0.0867,-1.53,344,195,0,4,0.5669,0.0268,-18.38,12.91,4.62,589.0,0.0,21.0,0.0,65.0,1.2121
JFK,2020-04-07,2020,4,122,70,0,3,0.5738,0.0577,-1.79,123,74,0,1,0.6016,0.0204,-27.04,12.92,6.29,277.0,0.0,55.0,0.0,0.0,1.2053
PIT,2022-12-23,2022,12,121,37,1,49,0.3058,0.5833,55.67,121,40,0,56,0.3306,0.6914,57.01,45.82,9.22,710.0,2701.0,2476.0,0.0,1145.0,1.1949
BOS,2023-07-16,2023,7,408,112,3,190,0.2745,0.6419,80.29,409,120,9,198,0.2934,0.6851,107.99,38.99,10.13,6037.0,1158.0,12053.0,7.0,9951.0,1.1909
ORD,2019-01-22,2019,1,838,282,1,286,0.3365,0.5144,67.55,840,272,10,335,0.3238,0.5898,120.24,29.41,14.11,5733.0,9045.0,7072.0,0.0,19210.0,1.1874
DCA,2020-04-06,2020,4,282,151,0,15,0.5355,0.1145,0.18,284,144,0,24,0.507,0.1714,-5.66,12.22,4.85,321.0,0.0,0.0,0.0,380.0,1.1855
JFK,2020-04-10,2020,4,109,59,0,5,0.5413,0.1,-2.04,107,54,0,4,0.5047,0.0755,-19.92,15.68,6.26,151.0,0.0,22.0,0.0,0.0,1.1826
DTW,2019-01-23,2019,1,424,92,1,245,0.217,0.738,109.64,421,139,0,169,0.3302,0.5993,78.32,23.31,10.07,8882.0,12844.0,2427.0,0.0,10764.0,1.172
ORD,2024-01-14,2024,1,613,124,4,375,0.2023,0.7669,109.25,611,108,4,286,0.1768,0.5686,58.92,23.37,30.06,15450.0,15164.0,3690.0,0.0,18107.0,1.1715
JFK,2023-06-26,2023,6,367,128,2,113,0.3488,0.4728,60.24,363,111,7,153,0.3058,0.6071,70.51,49.35,17.47,5027.0,1236.0,7976.0,4.0,5241.0,1.1704
BOS,2020-04-07,2020,4,188,104,0,5,0.5532,0.0595,-3.7,187,104,0,1,0.5561,0.012,-23.1,13.36,5.78,219.0,0.0,0.0,0.0,2.0,1.1659
DCA,2020-04-04,2020,4,249,139,0,5,0.5582,0.0455,-6.14,248,141,0,3,0.5685,0.028,-16.46,11.03,4.38,144.0,0.0,0.0,0.0,4.0,1.1619
JFK,2022-12-24,2022,12,251,54,0,142,0.2151,0.7208,78.69,252,66,0,119,0.2619,0.6398,74.4,22.45,17.65,7251.0,1588.0,747.0,0.0,4602.0,1.151
JFK,2022-01-07,2022,1,359,127,0,101,0.3538,0.4353,30.44,357,89,0,102,0.2493,0.3806,25.04,33.7,17.9,3173.0,509.0,2339.0,56.0,2432.0,1.1429
JFK,2020-04-04,2020,4,131,70,0,4,0.5344,0.0656,-0.56,130,67,0,0,0.5154,0.0,-26.6,16.82,7.3,340.0,0.0,0.0,0.0,0.0,1.1344
JFK,2017-01-07,2017,1,234,58,4,111,0.2479,0.6307,96.32,227,59,5,128,0.2599,0.7619,152.79,50.7,25.68,1109.0,10453.0,5923.0,0.0,4452.0,1.1265
DTW,2024-01-12,2024,1,320,116,1,81,0.3625,0.3971,129.38,319,88,28,67,0.2759,0.29,40.55,33.49,25.39,5319.0,19377.0,3293.0,0.0,1477.0,1.1221
DCA,2023-01-11,2023,1,418,84,0,238,0.201,0.7126,88.66,417,83,2,235,0.199,0.7036,89.04,21.21,8.99,5578.0,16.0,8273.0,0.0,14142.0,1.1146
DCA,2020-04-05,2020,4,305,169,0,0,0.5541,0.0,-9.46,306,170,0,2,0.5556,0.0147,-20.59,11.68,4.9,0.0,0.0,0.0,0.0,0.0,1.1082
JFK,2023-06-27,2023,6,361,112,1,121,0.3102,0.4859,68.78,360,119,0,123,0.3306,0.5104,82.83,43.78,13.67,10881.0,175.0,6794.0,0.0,2654.0,1.1063
ORD,2023-07-12,2023,7,751,156,3,407,0.2077,0.684,62.58,752,148,27,421,0.1968,0.697,70.26,31.14,16.46,8132.0,6300.0,8305.0,0.0,18462.0,1.0994
ORD,2020-04-06,2020,4,750,375,1,36,0.5,0.096,-2.37,735,360,0,46,0.4898,0.1227,-12.39,14.19,8.24,942.0,0.0,20.0,0.0,381.0,1.096
DCA,2022-12-23,2022,12,415,123,2,146,0.2964,0.5,47.25,414,127,1,177,0.3068,0.6167,62.86,23.85,10.65,4081.0,1325.0,3033.0,0.0,7637.0,1.0928
ORD,2024-06-25,2024,6,808,107,3,580,0.1324,0.8274,119.7,809,100,29,532,0.1236,0.7504,119.44,38.35,18.39,16050.0,18184.0,16227.0,0.0,43036.0,1.0922
DCA,2016-01-22,2016,1,228,98,1,30,0.4298,0.2308,11.99,227,142,2,16,0.6256,0.1882,2.07,21.16,6.25,452.0,373.0,848.0,0.0,468.0,1.0904
JFK,2022-12-23,2022,12,387,91,5,181,0.2351,0.6115,51.88,386,84,0,170,0.2176,0.5629,73.11,25.9,20.83,6919.0,2966.0,2856.0,0.0,3203.0,1.0817
PIT,2020-04-05,2020,4,109,54,0,5,0.4954,0.0909,3.29,109,51,0,2,0.4679,0.0345,-15.12,10.2,5.03,505.0,0.0,6.0,0.0,20.0,1.0817
DCA,2020-04-03,2020,4,343,180,0,5,0.5248,0.0307,-7.21,343,178,0,8,0.519,0.0485,-17.22,12.9,4.75,44.0,0.0,0.0,0.0,66.0,1.0803
ORD,2020-04-01,2020,4,778,407,0,11,0.5231,0.0296,-5.82,762,381,0,14,0.5,0.0367,-22.1,15.05,9.3,501.0,0.0,26.0,0.0,36.0,1.0758
DCA,2020-04-01,2020,4,344,173,0,11,0.5029,0.0643,-3.61,346,178,0,5,0.5145,0.0298,-15.83,12.63,5.39,405.0,0.0,0.0,0.0,86.0,1.0701
JFK,2020-04-05,2020,4,160,82,0,3,0.5125,0.0385,-5.51,161,82,0,4,0.5093,0.0506,-24.78,15.13,7.39,105.0,0.0,0.0,0.0,0.0,1.0635
ORD,2022-12-22,2022,12,709,199,3,254,0.2807,0.498,49.07,708,215,2,251,0.3037,0.5091,47.26,29.32,14.97,5177.0,5641.0,5787.0,0.0,12998.0,1.0594
